Id,Name,SkillTypeId
1,ASP.NET Web Forms,2
2,Entity Framework,2
3,C#,2
4,HTML,2
5,CSS,2
6,domain-driven design,2
7,specifications pattern,2
8,command-query separation,2
9,Windows Communication Foundation,2
10,NUnit,2
11,ASP.NET MVC,2
12,JavaScript,2
13,jQuery,2
14,PL/SQL,2
15,Team Foundation Server,2
16,Visual Studio,2
17,SSH.NET,2
18,bash,2
19,Informatica PowerCenter,2
20,Syncsort DMX-h,2
21,D3.js,2
22,JSON,2
23,T-SQL,2
24,Java,2
25,Eclipse,2
26,Google Maps SDK,2
27,UI development,2
28,Python,2
29,CINEMA 4D,2
30,wiki markup,2
